longitude,latitude,trace_type,distance,cumulative_distance,curvature
-90.13451206267166,38.64815168775824,racing_line,3.43654813831536e-05,0.005891255138478476,0.1127895086861378
-90.13449526893918,38.64818159569646,racing_line,3.4300353049935654e-05,0.005925555491528412,0.07927185447364926
-90.13448090046569,38.64821273060728,racing_line,3.4290460803482325e-05,0.005959845952331894,0.05024555834036071
-90.13446807591971,38.64824464227723,racing_line,3.4392203455164485e-05,0.005994238155787058,0.028669769955410596
-90.13445613914449,38.648276995936634,racing_line,3.4485444461930686e-05,0.006028723600248989,0.009911075115574652
-90.13444454055123,38.64830941895292,racing_line,3.443514702621503e-05,0.006063158747275204,0.0018919304033113704
-90.13443289190225,38.64834178866224,racing_line,3.440187647100379e-05,0.0060975606237462085,0.001710079339623638
-90.13442130057412,38.64837417279898,racing_line,3.439609280282854e-05,0.006131956716549037,0.016859832923707074
-90.134410255656,38.648406751299184,racing_line,3.4399838544472866e-05,0.00616635655509351,0.027706127449513174
-90.13440012099983,38.64843961187368,racing_line,3.4387913742544805e-05,0.006200744468836054,0.035648227775727515
-90.13439115766754,38.64847283608498,racing_line,3.441205518854e-05,0.006235156524024594,0.04746077188118769
-90.1343837778021,38.648506461258435,racing_line,3.442549497033636e-05,0.006269582018994931,0.05329777870742025
-90.13437820048235,38.64854042715373,racing_line,3.4420757386318314e-05,0.006304002776381249,0.05574331601416249
-90.13437452424527,38.64857465076385,racing_line,3.442049111051704e-05,0.006338423267491766,0.06204078051114936
-90.13437297674918,38.64860904155997,racing_line,3.442559516113957e-05,0.006372848862652905,0.05844145215108476
-90.13437344070077,38.648643471569336,racing_line,3.443313514502829e-05,0.006407281997797934,0.05045902500044175
-90.13437564026474,38.64867782865968,racing_line,3.442742712491524e-05,0.006441709424922849,0.0531392484051012
-90.13437966126253,38.648712017770244,racing_line,3.442475423969056e-05,0.0064761341791625395,0.041230408317729283
-90.13438506088089,38.648745841738794,racing_line,3.425225141404023e-05,0.0065103864305765796,0.027715800567799542
-90.13439138486562,38.64877944517214,racing_line,3.4193325598087205e-05,0.006544579756174667,0.02531888272306304
-90.1343985578088,38.64881287901723,racing_line,3.419463570829694e-05,0.006578774391882964,0.014386395578724454
-90.13440623626667,38.64884631630434,racing_line,3.4307592235294214e-05,0.006613081984118259,0.0064542565041121325
-90.13441413296201,38.648879714274,racing_line,3.431883119508278e-05,0.0066474008153133415,0.0
