longitude,latitude,trace_type
-10033740.740478644,4671627.038856734,racing_line
-10033740.820339836,4671627.271626215,racing_line
-10033740.901502572,4671627.503839613,racing_line
-10033740.984066103,4671627.7354724435,racing_line
-10033741.068086449,4671627.966520972,racing_line
-10033741.15357256,4671628.197001273,racing_line
-10033741.240488244,4671628.426946315,racing_line
-10033741.328759432,4671628.656401644,racing_line
-10033741.418285154,4671628.88542036,racing_line
-10033741.50895045,4671629.114058159,racing_line
-10033741.600638982,4671629.342369042,racing_line
-10033741.693244107,4671629.570401961,racing_line
-10033741.786677111,4671629.798198523,racing_line
-10033741.88087223,4671630.02579163,racing_line
-10033741.975788105,4671630.253204897,racing_line
-10033742.071405992,4671630.480452546,racing_line
-10033742.167725429,4671630.707539467,racing_line
-10033742.26475835,4671630.934461135,racing_line
-10033742.362523414,4671631.161202984,racing_line
-10033742.461042676,4671631.387738894,racing_line
-10033742.560342263,4671631.614028698,racing_line
-10033742.660457624,4671631.840015185,racing_line
-10033742.761442248,4671632.06562156,racing_line
-10033742.863376817,4671632.290750766,racing_line
-10033742.966375243,4671632.5152879665,racing_line
-10033743.070584364,4671632.739106821,racing_line
-10033743.339136144,4671632.884387823,racing_line
-10033743.462964855,4671633.097899832,racing_line
-10033743.583847025,4671633.312604606,racing_line
-10033743.699952098,4671633.529376101,racing_line
-10033743.810426863,4671633.748628785,racing_line
-10033743.915629394,4671633.970213482,racing_line
-10033744.017043067,4671634.193469997,racing_line
-10033743.964435492,4671634.493523208,racing_line
-10033744.08400994,4671634.708424998,racing_line
-10033744.20495784,4671634.922663759,racing_line
-10033744.327135257,4671635.136355126,racing_line
-10033744.450436626,4671635.349591253,racing_line
-10033744.574805971,4671635.56243263,racing_line
-10033744.700239353,4671635.7749048,racing_line
-10033744.826778939,4671635.987000249,racing_line
-10033744.954500083,4671636.1986848805,racing_line
-10033745.08349391,4671636.409907555,racing_line
-10033745.213848442,4671636.620610773,racing_line
-10033745.345631527,4671636.830740254,racing_line
-10033745.47887872,4671637.0402513975,racing_line
-10033745.613588039,4671637.249111322,racing_line
-10033745.749722082,4671637.457296415,racing_line
-10033745.887216628,4671637.66478606,racing_line
-10033746.02599432,4671637.8715539,racing_line
-10033746.165981315,4671638.07755827,racing_line
-10033746.30712501,4671638.282733375,racing_line
-10033746.449410584,4671638.486982716,racing_line
-10033746.59287377,4671638.690176139,racing_line
-10033746.891847312,4671638.786803435,racing_line
-10033747.05876385,4671638.971816871,racing_line
-10033747.228434395,4671639.154326196,racing_line
-10033747.398373345,4671639.336068925,racing_line
-10033747.565869559,4671639.518971977,racing_line
-10033747.728394814,4671639.704838495,racing_line
-10033747.884020217,4671639.895057891,racing_line
-10033748.031830512,4671640.090353465,racing_line
-10033748.172229918,4671640.290622274,racing_line
-10033748.307042647,4671640.494893523,racing_line
-10033748.439335078,4671640.70141584,racing_line
-10033748.457409471,4671640.996689733,racing_line
-10033748.626062617,4671641.1791938655,racing_line
-10033748.796150101,4671641.361489049,racing_line
-10033748.9675107,4671641.543839401,racing_line
-10033749.140031569,4671641.726381701,racing_line
-10033749.31364936,4671641.909107076,racing_line
-10033749.488343313,4671642.09186551,racing_line
-10033749.6641231,4671642.274390409,racing_line
-10033749.841014843,4671642.456335733,racing_line
-10033750.019048367,4671642.637316773,racing_line
-10033750.32642724,4671642.689812505,racing_line
-10033750.520231688,4671642.851454935,racing_line
-10033750.713218454,4671643.012810762,racing_line
-10033750.905892324,4671643.173330069,racing_line
-10033751.098685501,4671643.332312574,racing_line
-10033751.291842874,4671643.48944029,racing_line
-10033751.485167312,4671643.644929717,racing_line
-10033751.678028425,4671643.799544579,racing_line
-10033751.86953,4671643.9544245675,racing_line
-10033752.058772968,4671644.110797868,racing_line
-10033752.24513525,4671644.269668549,racing_line
-10033752.428514034,4671644.431539436,racing_line
-10033752.609460194,4671644.596241745,racing_line
-10033752.789175874,4671644.762891268,racing_line
-10033752.969371548,4671644.929968778,racing_line
-10033753.152027613,4671645.095481845,racing_line
