t,seconds_elapsed,E,N,lat,lon,speed,heading_deg,yaw_rate
1782421472250309000,52.25,25.320623131506323,-23.684584282777504,38.64846374978599,-90.13519241710908,10.625272940413504,23.679256400835524,0.1694201382653041
1782421472260309000,52.26,25.517379088481974,-23.598271111396215,38.64846452601899,-90.13519015143544,10.65240848805061,23.692910800494964,0.15965302451787097
1782421472270309000,52.27,25.71421791725545,-23.511866331685336,38.64846530307584,-90.13518788480751,10.679544035687732,23.70622952118983,0.2408414467620438
1782421472280309000,52.28,25.91113596828624,-23.42537286218997,38.6484660809303,-90.13518561726731,10.706679583324837,23.719213917045092,0.2560043253400424
1782421472290309000,52.29,26.108129592034242,-23.338793621455,38.648466859556116,-90.13518334885688,10.733815130961942,23.73186529758659,0.31583691593454727
1782421472300309000,52.300000000000004,26.30519513895938,-23.252131528025348,38.64846763892705,-90.13518107961826,10.760950678599066,23.744184928117264,-0.00977521576074561
1782421472310309000,52.31,26.50232895952112,-23.165389500446093,38.648468419016844,-90.13517880959346,10.78808622623617,23.756174030076185,-0.3255413855496894
1782421472320309000,52.32,26.69952740417937,-23.078570457262142,38.64846919979926,-90.1351765388245,10.815221773873274,23.767833781371632,-0.5577901512349028
1782421472330309000,52.33,26.896786823393906,-22.991677317018457,38.64846998124804,-90.13517426735339,10.842357321510379,23.779165316716764,-0.5442325254759829
1782421472340309000,52.34,27.094103567624632,-22.904712998259942,38.64847076333695,-90.1351719952222,10.869492869147503,23.790169727939375,-0.43475892237484964
1782421472350309000,52.35,27.291473987331038,-22.81768041953169,38.64847154603974,-90.13516972247291,10.896628416784607,23.80084806428347,-0.2539966410015118
1782421472360309000,52.36,27.488894432973005,-22.730582499378603,38.64847232933015,-90.13516744914757,10.923763964421711,23.811201332696218,0.03951409140365839
1782421472370309000,52.370000000000005,27.686361255010464,-22.643422156345576,38.64847311318194,-90.13516517528821,10.950899512058836,23.821230498094902,0.3578836203334618
1782421472380309000,52.38,27.88387080390289,-22.55620230897771,38.64847389756888,-90.13516290093683,10.97803505969594,23.830936483635345,0.6108022354396327
